Timestamp,Distribution/allocation of TA lines amongst faculty,Matching research funding,In E&S?,Pre-tenure?,Cohort points,Diversity,Disciplinary need,Unique skills for TAing ,Are there other concepts and (relative values) that you'd like to see considered?,Any other comments?
11/26/2019 14:24:01,10,5,10,7,4,7,1,1,,
11/26/2019 14:35:18,2,10,1,3,2,2,0,0,Track record: How many students has the faculty member graduated in recent years and with how much assistance from the school? New faculty could be exempt. They could be considered to have a good track record in their first 5 years.,"Thank you for doing this. I think it's a great approach. I like the criteria, except I think we need to recognize that, as much as we love our MS programs, we need to be open following the trend toward building the PhD."
11/26/2019 14:38:20,8,4,9,8,6,8,6,8,,"On question 2, matching research funding: if you have research funding, then you should be giving your student an RA, after the first year.  You should NOT be required to fund an RA the first year, as the student cannot do much research then, so an RA is not really appropriate.  So, if you want to take two students, but will fund both in their second year, then their cost is the same as one student, so there is no cost to the school.  The only issue is TA allocation."
11/26/2019 14:39:58,8,9,10,10,8,5,5,4,,
11/26/2019 14:40:59,8,8,1,8,10,8,6,6,"Past record of external funding for students should be considered (that is, if we have a case where 2 students are asking for only one available TA, the preference could go to the faculty advisor who has been contributing to funding the graduate program in the past)","Do we want to bring up funding for third years? I know this has been sort of ""settled"", but it still seems to come up each year. Is there a different set of criteria that should apply among the third years? We typically need a few of them."
11/26/2019 14:50:01,9,0,10,6,8,9,7,8,,
11/26/2019 15:35:09,8,9,10,7,8,9,6,7,,
11/26/2019 15:54:04,10,1,10,5,10,7,3,3,"I think also looking at the number of students who have contacted certain people. I know that a lot of students have contacted me this year, so I am hoping it works for me to take one of them.  ","
Overall, I'm a real proponent of equity among faculty. I know with ES&P, it has worked fairly well to more or less give a TA/faculty who wanted it/didn't have other funding that year--it also leads to a diversity of student backgrounds and interests as people working on different topics. That benefits our students as well.

I do like that the current approach allows for tenured, pre-tenure, and lecturers all to have opportunities to advise students. I think it makes us better faculty to work with graduate students and if everyone wants the chance, everyone should be able to have it. 

I also think that instead of giving a TA lines to those that have funding (unless there is no funding for the student tuition) it should go to those without funding for that year, as that will help bring in more students. If there is a funded project without TA funding, then I think that should get bumped up in importance (I struggled with that question for that reason)."
11/26/2019 16:29:17,8,10,10,7,7,7,5,5,,
11/26/2019 19:54:47,3,7,8,5,3,5,4,6,,
11/26/2019 20:21:22,6,7,5,8,3,7,5,7,,"Those are all pretty important to take into account! I ranked ""even cohorts among the programs"" lower, because on a 1-year timescale, this isn't so important, but on a 3- to 5-year timescale, it is, IMHO. "
11/27/2019 7:16:03,6,8,6,6,4,5,5,6,,
11/27/2019 8:28:14,6,3,10,8,10,10,8,6,"I'm not sure if this is captured above but sheer applicant quality seems important. That is, if a student is really exceptional in every way on their application and their prospective faculty member has no funding for them, even if they are not filling a TA or disciplinary gap and even if their prospective faculty member is not ""next in line"" for a TAship, it seems like they should be in the running. That might apply to only one or a couple of applicants per year, of course.",
11/27/2019 8:58:13,7,5,9,8,7,10,6,4,,
11/27/2019 10:59:54,7,8,9,10,8,8,6,6,,"Question 2 is interesting. If funding exists for a student, then the faculty should be granted a student and that should keep other SES funding open for other students."
11/27/2019 14:27:59,0,6,8,8,8,5,9,9,Research active faculty should be prioritized for allocation of TA lines.  This should be based on easily assessed metrics like number of first-author or grad-student led peer-reviewed publications and grant submissions.  Faculty who have not published or submitted a proposal recently should not be prioritized equally.,
12/2/2019 16:27:28,10,7,10,8,9,10,4,2,,
